model,config_id,epoch,loss,auc,val_loss,val_auc,hidden_units,dropout_rate,learning_rate,batch_size,epochs_planned,embedding_dim
MLP,2,10,0.3026281297206878,0.9415123462677002,0.3214871883392334,0.938301920890808,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,3,13,0.3022034764289856,0.9415072798728944,0.3083638846874237,0.9401379227638244,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,3,20,0.3038569092750549,0.9410178065299988,0.3226830661296844,0.9387505054473876,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,2,10,0.3045675158500671,0.94078528881073,0.3044255375862121,0.94149911403656,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,3,12,0.3044244945049286,0.9407639503479004,0.3096571564674377,0.9395467042922974,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,10,0.304400622844696,0.9406842589378356,0.3052623569965362,0.9394452571868896,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,13,0.3050397336483001,0.9406840801239014,0.304106056690216,0.9408289194107056,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,4,19,0.3049531280994415,0.940623104572296,0.3279968202114105,0.935360848903656,"(128, 64)",0.3,0.0005,256,50,
MLP,1,10,0.3051879703998565,0.9404159188270568,0.3194500803947449,0.937210500240326,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,4,12,0.3058018684387207,0.9402807354927064,0.3037380278110504,0.9405013918876648,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,4,18,0.306029200553894,0.9402266144752502,0.3323527574539184,0.9351734519004822,"(128, 64)",0.3,0.0005,256,50,
MLP,2,9,0.3057464063167572,0.940047025680542,0.3265837132930755,0.9377596378326416,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,3,11,0.3060633540153503,0.939965844154358,0.3092475235462188,0.9391456246376038,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,4,17,0.3067793250083923,0.9397861957550048,0.3294013440608978,0.9352914094924928,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,2,9,0.3071707189083099,0.9396437406539916,0.2995322644710541,0.9412792325019836,"(128, 64)",0.3,0.001,512,40,8.0
Embedding MLP,1,9,0.3074005842208862,0.9396049976348876,0.3085395395755768,0.9389869570732116,"(128, 64)",0.2,0.001,512,40,4.0
MLP,3,18,0.3074442446231842,0.9395534992218018,0.320583164691925,0.9379655122756958,"(256, 128)",0.4,0.0005,512,50,
MLP,3,19,0.3075493574142456,0.9395282864570618,0.3195181787014007,0.938465654850006,"(256, 128)",0.4,0.0005,512,50,
MLP,1,9,0.3075677156448364,0.9394182562828064,0.3210984468460083,0.936034381389618,"(128, 64)",0.2,0.001,512,40,
MLP,4,16,0.309007853269577,0.9390618205070496,0.3315349519252777,0.935249924659729,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,4,11,0.3092795610427856,0.9388986825942992,0.3051589727401733,0.9399014115333556,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,3,10,0.3089373111724853,0.9388784170150756,0.3102388679981231,0.938821256160736,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,1,8,0.3091536164283752,0.9388595819473268,0.3115608692169189,0.9383055567741394,"(128, 64)",0.2,0.001,512,40,4.0
MLP,3,17,0.3093314170837402,0.9388307332992554,0.3192133903503418,0.9381171464920044,"(256, 128)",0.4,0.0005,512,50,
MLP,2,8,0.3090185225009918,0.9388140439987184,0.3277439475059509,0.9381049275398254,"(256, 128)",0.3,0.001,512,40,
MLP,4,15,0.3102926611900329,0.938529372215271,0.3303080201148987,0.93547260761261,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,2,8,0.3101804554462433,0.9385007619857788,0.3037384450435638,0.940000057220459,"(128, 64)",0.3,0.001,512,40,8.0
MLP,3,16,0.3110061883926391,0.9382697343826294,0.3244703710079193,0.9380175471305848,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,3,9,0.3109360933303833,0.938069224357605,0.3113917410373688,0.9380507469177246,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,8,0.3112267553806305,0.938007950782776,0.3226500153541565,0.9364745020866394,"(128, 64)",0.2,0.001,512,40,
Embedding MLP,1,7,0.3118714094161987,0.9376872777938844,0.312004029750824,0.9375224709510804,"(128, 64)",0.2,0.001,512,40,4.0
MLP,4,14,0.3125010728836059,0.937663733959198,0.33017298579216,0.9355471134185792,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,4,10,0.3119356036186218,0.9376583099365234,0.305412620306015,0.9393062591552734,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,3,15,0.3122850954532623,0.9375643730163574,0.3216447234153747,0.937817394733429,"(256, 128)",0.4,0.0005,512,50,
MLP,2,7,0.3123051822185516,0.9374089241027832,0.3236620724201202,0.9374772906303406,"(256, 128)",0.3,0.001,512,40,
Embedding MLP,2,7,0.3140488862991333,0.9368502497673036,0.3102830052375793,0.9390780329704284,"(128, 64)",0.3,0.001,512,40,8.0
MLP,1,7,0.3141376674175262,0.9368370175361632,0.3276249468326568,0.936090350151062,"(128, 64)",0.2,0.001,512,40,
MLP,3,14,0.3144769370555877,0.9367093443870544,0.3253686130046844,0.9372045993804932,"(256, 128)",0.4,0.0005,512,50,
MLP,4,13,0.314933568239212,0.9366532564163208,0.3356990814208984,0.934991717338562,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,3,8,0.3143758177757263,0.9366275072097778,0.3176200687885284,0.9373661279678344,"(256, 128)",0.3,0.0005,512,50,8.0
Embedding MLP,4,9,0.3150553405284881,0.936411678791046,0.3114528954029083,0.93842214345932,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,1,6,0.315416008234024,0.9363020062446594,0.314159482717514,0.9368193745613098,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,2,6,0.3160319030284881,0.9360129833221436,0.3125542998313904,0.9379634261131288,"(128, 64)",0.3,0.001,512,40,8.0
MLP,3,13,0.3170311748981476,0.9357041120529176,0.3231992721557617,0.9369643330574036,"(256, 128)",0.4,0.0005,512,50,
MLP,4,12,0.3174731433391571,0.9356389045715332,0.3338997364044189,0.9353790879249572,"(128, 64)",0.3,0.0005,256,50,
MLP,2,6,0.3177486062049866,0.9353953003883362,0.3282902240753174,0.9365713000297546,"(256, 128)",0.3,0.001,512,40,
MLP,3,12,0.3187029659748077,0.9350037574768066,0.3269803822040558,0.9364537000656128,"(256, 128)",0.4,0.0005,512,50,
Embedding MLP,3,7,0.3179921507835388,0.9350033402442932,0.3156318962574005,0.9364672899246216,"(256, 128)",0.3,0.0005,512,50,8.0
MLP,1,6,0.3187232911586761,0.9348875284194946,0.3245485723018646,0.9355457425117492,"(128, 64)",0.2,0.001,512,40,
MLP,4,11,0.3194235861301422,0.9347527027130128,0.3371517062187195,0.9350044131278992,"(128, 64)",0.3,0.0005,256,50,
Embedding MLP,1,5,0.3193928599357605,0.9346228241920472,0.3164805471897125,0.935751736164093,"(128, 64)",0.2,0.001,512,40,4.0
Embedding MLP,4,8,0.3193252086639404,0.9345760345458984,0.3124286532402038,0.9375231266021729,"(256, 128)",0.4,0.0005,512,50,16.0
Embedding MLP,4,7,0.321045845746994,0.933938205242157,0.3155183494091034,0.9365952610969543,"(256, 128)",0.4,0.0005,512,50,16.0
MLP,2,5,0.3213875293731689,0.933794379234314,0.3402147591114044,0.9358426332473756,"(256, 128)",0.3,0.001,512,40,
