feature_name,variance,kept_by_variance_threshold,target_correlation,abs_target_correlation,mutual_information,rf_importance,has_target_encoded_source,is_target_derived_feature,overall_preview_rank
hotel_hist_cancel_rate_scaled,1.0,True,0.13308062832005796,0.13308062832005796,0.01099277045408864,0.0018215783272309929,False,True,130.0
price_volatility_index_scaled,1.0,True,-0.1429787300239392,0.1429787300239392,0.011898505407081705,0.0011890233528094865,False,False,131.0
price_to_customer_group_hist_avg_scaled,1.0000000000000002,True,0.041948216499710325,0.041948216499710325,0.044556713103505396,0.0023049519458503186,False,False,132.0
assigned_room_type_D,0.16518086277455865,True,-0.13304996392396176,0.13304996392396176,0.012090043464941802,0.0013502163372198373,False,False,132.0
group_avg_revenue_scaled,0.9999999999999996,True,-0.010146787770067391,0.010146787770067391,0.1036294215034339,0.0171279621677547,False,False,134.0
hotel_target_encoded,0.004814084062958258,True,0.14528953433765296,0.14528953433765296,0.008410645574936204,0.0015022182438988033,True,False,136.0
hotel_hist_avg_adr_scaled,1.0,True,0.1393511402464557,0.1393511402464557,0.012590564760684764,0.0007747600102156853,False,False,137.0
hotel_type_Resort_Hotel,0.21235671404875053,True,-0.1440069978623023,0.1440069978623023,0.009339353890928992,0.000888347007143842,False,False,140.0
rfm_value_score_scaled,1.0,True,0.08065189502525494,0.08065189502525494,0.009881741266662747,0.0026421266409132377,False,False,141.0
hotel_type_City_Hotel,0.2123567140487505,True,0.1440069978623024,0.1440069978623024,0.012514063171956025,0.00029972265100863105,False,False,145.0
company_scaled,1.0000000000000002,True,-0.08427926225473667,0.08427926225473667,0.020760886050766425,0.0005845577373028805,False,False,146.0
price_to_hotel_hist_avg_scaled,1.0000000000000002,True,0.027657388295248754,0.027657388295248754,0.0273589167378141,0.0034766795795295046,False,False,151.0
special_request_group_2,0.09471093206499234,True,-0.11200882560865069,0.11200882560865069,0.007545538934460527,0.0008964352418613962,False,False,155.0
previous_bookings_not_canceled_scaled,1.0,True,-0.05919134881095759,0.05919134881095759,0.009312512031034448,0.0021376382013813945,False,False,157.0
adults_scaled,1.0,True,0.06872486294435842,0.06872486294435842,0.009470541719970305,0.0008482288305924211,False,False,162.0
hotel_daily_booking_count_scaled,1.0,True,0.10744343642437272,0.10744343642437272,0.009886447580618851,0.00023816238399585387,False,False,165.0
reserved_room_type_A,0.1878502336983195,True,0.07795723936387076,0.07795723936387076,0.005982094058862186,0.0015845358761578084,False,False,167.0
total_stays_scaled,1.0,True,0.023215247019565052,0.023215247019565052,0.014878130379052168,0.002597530235080592,False,False,170.0
price_sensitivity_score_scaled,0.9999999999999996,True,0.07274848578109935,0.07274848578109935,0.007195667059679112,0.0008124791784444049,False,False,173.0
stays_in_week_nights_scaled,1.0000000000000002,True,0.0347711033573693,0.0347711033573693,0.012478118046512332,0.0009165832770612179,False,False,175.0
distribution_channel_Corporate,0.05522396810385369,True,-0.07807224264863745,0.07807224264863745,0.00636995768620352,0.0006059497995349253,False,False,178.0
is_repeated_guest_scaled,1.0,True,-0.08650551241127921,0.08650551241127921,0.006366726659700284,0.0003875373658163167,False,False,181.0
days_in_waiting_list_scaled,1.0000000000000002,True,0.056469109948741256,0.056469109948741256,0.013543479456294971,0.0001769190734807556,False,False,184.0
total_guests_scaled,1.0000000000000004,True,0.045848966984721726,0.045848966984721726,0.007941407498130992,0.000821296932617126,False,False,185.0
hotel_hist_booking_count_scaled,1.0000000000000002,True,0.06431926506718147,0.06431926506718147,0.005039459749675457,0.0007414114606592662,False,False,193.0
rfm_segment_高价值,0.01440874574236511,True,0.06446759652430703,0.06446759652430703,0.00906016075963234,0.0001455814820849259,False,False,194.0
demand_pressure_score_scaled,1.0,True,0.10655419933014074,0.10655419933014074,0.0059599064623652165,0.00013356066235489127,False,False,197.0
lead_time_group_91_180,0.1693860436211456,True,0.08990487552930626,0.08990487552930626,0.004324178308420246,0.00020612835006613252,False,False,201.0
lead_time_group_8_30,0.13435303035642002,True,-0.09050885064958884,0.09050885064958884,0.002531816231286177,0.0006882952641416985,False,False,205.0
reserved_room_type_D,0.13089624365373106,True,-0.047803381602038515,0.047803381602038515,0.007415368590734328,0.0001724808577189685,False,False,211.0
market_segment_Corporate,0.04426264513009672,True,-0.083240447505697,0.083240447505697,0.0034308641856166666,0.0001214918712974713,False,False,219.0
agent_hist_booking_count_scaled,1.0,True,0.017980712050210262,0.017980712050210262,0.0025134771826282876,0.008117551949912913,False,False,219.0
group_recency_days_scaled,1.0,True,-0.02248361707365835,0.02248361707365835,0.007486288599826807,0.00022185510332309427,False,False,228.0
special_request_group_3,0.0194621927489427,True,-0.056574403633237,0.056574403633237,0.003348722431748108,8.141922167613406e-05,False,False,237.0
is_high_value_customer_group_scaled,1.0,True,0.06446759652430671,0.06446759652430671,0.005808663829358629,1.647406410760778e-05,False,False,239.0
estimated_occupancy_proxy_scaled,0.9999999999999998,True,0.0445329340307206,0.0445329340307206,0.0026201163343586575,0.00017229990013145562,False,False,250.0
meal_BB,0.17035593010732236,True,0.011286869917975551,0.011286869917975551,0.005508586759570333,0.00022362478297972921,False,False,253.0
market_segment_Online_TA,0.24884169463766823,True,-0.02900312859437212,0.02900312859437212,0.0,0.009153648422200785,False,False,254.5
assigned_room_type_F,0.024947465964257717,True,-0.050954445729430316,0.050954445729430316,0.002961780380445367,3.18782448529176e-05,False,False,255.0
assigned_room_type_C,0.01720273186448055,True,-0.06158986659457725,0.06158986659457725,0.0026909647097259626,2.632021392665218e-05,False,False,256.0
customer_type_Contract,0.029125866614448544,True,-0.007753082249482942,0.007753082249482942,0.005094773569009892,0.0003619652298910301,False,False,257.0
lead_time_group_31_90,0.1863141003285423,True,0.009239358228319594,0.009239358228319594,0.0030866962900923944,0.0005498359381951965,False,False,264.0
market_segment_Offline_TA_TO,0.16200884375207558,True,-0.01022706424714302,0.01022706424714302,0.00015111727774130834,0.005223342509917605,False,False,264.0
has_children_or_babies_scaled,1.0,True,-0.026654886115045733,0.026654886115045733,0.003482748579364481,4.629612136494816e-05,False,False,266.0
customer_group_hist_booking_count_scaled,1.0,True,0.023718144846482863,0.023718144846482863,0.0,0.002811663098427632,False,False,278.5
special_request_group_4,0.0024490527089087583,True,-0.025587423647328158,0.025587423647328158,0.002600934215202244,2.591762254382587e-05,False,False,287.0
customer_type_Group,0.005046308144124048,True,-0.04132998367496165,0.04132998367496165,0.006200979015702268,5.854255992736333e-07,False,False,288.0
assigned_room_type_B,0.018969687665072545,True,-0.04167171959791218,0.04167171959791218,0.0007540160570180809,4.757013784283894e-05,False,False,289.0
season_type_旺季,0.19091215662067956,True,-0.002989550986398007,0.002989550986398007,0.0056351873661766305,8.701779893324429e-05,False,False,292.0
market_segment_Complementary,0.006566141244740266,True,-0.04249659679870632,0.04249659679870632,0.00660728213921935,0.0,False,False,294.0
reserved_room_type_E,0.04481294912437558,True,-0.043347007758684664,0.043347007758684664,0.0037887580908806395,2.819627531731405e-06,False,False,295.0
arrival_day_of_week_scaled,1.0000000000000004,True,0.005666143630602063,0.005666143630602063,0.0030591547617049297,7.098191605288489e-05,False,False,296.0
city_hist_avg_adr_scaled,1.0,True,0.0001832626456654727,0.0001832626456654727,0.008142012706950474,0.0002118552097473787,False,False,300.0
rfm_segment_潜力,0.011215927904697956,True,-0.05674318324296419,0.05674318324296419,0.000196344770942547,1.0148841443841392e-05,False,False,302.0
season_type_平季,0.23473542616587983,True,0.002206644876331965,0.002206644876331965,0.008970172176676394,2.0220895252227914e-05,False,False,305.0
stays_in_weekend_nights_scaled,1.0,True,-0.008563453022090791,0.008563453022090791,7.024730435034598e-05,0.0005816274242954542,False,False,306.0
arrival_date_week_number_scaled,1.0,True,-0.0024893527989488253,0.0024893527989488253,0.0019129379927047552,0.0007842580805890744,False,False,307.0
assigned_room_type_E,0.05522396810385369,True,-0.0727216639940665,0.0727216639940665,0.0,2.2407363468926093e-05,False,False,307.5
arrival_month_2024_03,0.1115969708021894,True,-0.003936097270345181,0.003936097270345181,0.0038924481745126194,2.9340670300610197e-05,False,False,310.5
meal_FB,0.006139998903957521,True,0.047638365218944774,0.047638365218944774,0.0,6.18071452327699e-05,False,False,311.5
reserved_room_type_B,0.010067596060185256,True,-0.013614759407412583,0.013614759407412583,0.0015806910679545538,2.7104540948452726e-05,False,False,312.0
babies_scaled,0.9999999999999998,True,-0.033813402491553304,0.033813402491553304,0.004916778775241104,0.0,False,False,313.0
is_holiday_proxy_scaled,1.0,True,0.005016843979202109,0.005016843979202109,0.004122179459462139,1.0783994018402303e-05,False,False,314.5
meal_HB,0.09643903263417716,True,-0.018621757985314197,0.018621757985314197,0.0,0.00022992872493703267,False,False,315.5
city_Bhopal,0.06266465511845418,True,-0.004911951876225582,0.004911951876225582,0.005857887714865839,5.904956803404332e-06,False,False,319.0
meal_Undefined,0.008890015478084452,True,-0.02547717396785556,0.02547717396785556,0.0,8.448112368807331e-05,False,False,325.5
assigned_room_type_I,0.002744275387104306,True,-0.03971330176309034,0.03971330176309034,0.0028234763988941314,0.0,False,False,329.0
is_peak_season_scaled,1.0,True,-0.00298955098639788,0.00298955098639788,0.002295578071631832,2.9813179760301263e-05,False,False,333.0
holiday_proxy_工作日,0.20343435150999997,True,-0.005016843979202124,0.005016843979202124,0.0019318656619655705,1.681878108832937e-05,False,False,334.5
arrival_quarter_label_2024Q2,0.23366739997321878,True,0.0009393191915392558,0.0009393191915392558,0.003125157696571179,5.993593213042133e-05,False,False,335.0
assigned_room_type_G,0.015115342458001004,True,-0.033618827490752595,0.033618827490752595,0.0,1.9152655383638604e-05,False,False,338.5
arrival_quarter_label_2024Q3,0.1894539447934589,True,-0.0019261781545600858,0.0019261781545600858,0.0035173908878511906,1.830524957935752e-05,False,False,340.0
arrival_date_month_January,0.11038992949293183,True,0.004400611424800383,0.004400611424800383,9.991402168552099e-05,0.00011477637614063859,False,False,340.5
holiday_proxy_周末_节假日代理,0.20343435150999997,True,0.005016843979202124,0.005016843979202124,0.0005191507978434817,2.4162340889757486e-05,False,False,341.5
arrival_month_num_scaled,1.0,True,-0.002144197818933594,0.002144197818933594,0.0,0.0011833655050311543,False,False,344.5
reserved_room_type_F,0.017983100950016345,True,-0.024648891084220283,0.024648891084220283,0.001642789248680776,4.991192037535505e-07,False,False,345.0
market_segment_Aviation,0.0020058884246050047,True,-0.012547549934692844,0.012547549934692844,7.258813180333057e-05,9.628044964074366e-06,False,False,347.0
arrival_month_2024_01,0.11038992949293183,True,0.004400611424800383,0.004400611424800383,0.0,0.00024324081812480733,False,False,347.0
children_scaled,1.0,True,-0.010455807391831036,0.010455807391831036,0.0,7.014141023522524e-05,False,False,347.5
rfm_segment_沉睡,0.0029186423572833604,True,-0.029100011493487028,0.029100011493487028,0.0016916681006606815,0.0,False,False,349.0
reserved_room_type_G,0.011242293948082635,True,-0.014180231799259535,0.014180231799259535,0.002907742392830537,0.0,False,False,350.0
meal_SC,0.08557550436070513,True,-0.0007053452942251375,0.0007053452942251375,0.0004158123804538505,0.00048058830453778106,False,False,350.0
assigned_room_type_K,0.0022610920213665454,True,-0.03240107527937515,0.03240107527937515,0.0014549814299376074,0.0,False,False,352.0
is_weekend_scaled,1.0,True,0.005016843979202109,0.005016843979202109,0.0001306188656042817,1.958311341287106e-05,False,False,354.5
special_request_group_5,0.0002966798562779289,True,-0.011578348693238434,0.011578348693238434,0.0029080591544938805,0.0,False,False,355.0
is_near_holiday_proxy_scaled,1.0000000000000004,True,-0.0003505483189091737,0.0003505483189091737,0.004297959597518108,1.2515832830908143e-05,False,False,356.0
city_Chandigarh,0.06301480365701566,True,-0.004018545724246427,0.004018545724246427,0.0032165799280765572,1.9423560718502337e-06,False,False,358.0
city_Bangalore,0.06157711314790413,True,0.008601903693573804,0.008601903693573804,0.0016311870544254425,1.5970352128539479e-06,False,False,365.0
arrival_month_2024_08,0.10936994141029026,True,-0.002561306081375185,0.002561306081375185,0.0022286479767203993,7.893648540199555e-06,False,False,365.5
arrival_quarter_label_2024Q1,0.23408873606466463,True,0.0007943647596904952,0.0007943647596904952,0.0,0.0005150280340726605,False,False,369.5
reserved_room_type_H,0.0032269870987974227,True,-0.0028387892889574907,0.0028387892889574907,0.004402731291033302,0.0,False,False,370.0
city_Indore,0.061413124568325546,True,0.000740898683446984,0.000740898683446984,0.002997454346390649,6.077150893634986e-06,False,False,372.0
reserved_room_type_C,0.005513426703792519,True,-0.014683835820323078,0.014683835820323078,0.0005133864136752653,0.0,False,False,376.0
arrival_date_day_of_month_scaled,1.0,True,-0.001731220300630564,0.001731220300630564,0.0,0.00018901278206347018,False,False,376.5
arrival_quarter_scaled,0.9999999999999996,True,-0.0015611769871387046,0.0015611769871387046,0.0,0.0001835842139123557,False,False,378.5
season_type_淡季,0.10524260003991183,True,0.0007309578217780621,0.0007309578217780621,0.0009549454013191294,2.1139836927150035e-05,False,False,380.0
distribution_channel_GDS,0.0017505534489004719,True,-0.018087774924624333,0.018087774924624333,0.0,3.6159989240129334e-06,False,False,382.5
market_segment_Undefined,1.3489269283828188e-05,True,0.004793807345983596,0.004793807345983596,0.0019812260717557706,0.0,False,False,385.0
city_Hyderabad,0.062407671355211636,True,0.00627823514855755,0.00627823514855755,0.0,7.986726178292694e-06,False,False,386.5
arrival_date_month_March,0.1115969708021894,True,-0.003936097270345181,0.003936097270345181,0.0,1.2187273442287202e-05,False,False,393.0
arrival_date_month_June,0.10720670723116604,True,0.002685539045854219,0.002685539045854219,0.0004996031921056243,4.349045500598682e-06,False,False,393.5
arrival_date_month_February,0.10524260003991183,True,0.0007309578217780621,0.0007309578217780621,0.000979431549195775,9.147769052992783e-06,False,False,394.0
arrival_date_month_May,0.11139616118123652,True,0.0006981137056708205,0.0006981137056708205,0.00115435926097196,9.253572649186138e-06,False,False,395.5
city_Kochi,0.0613779748781858,True,-0.002855597003282182,0.002855597003282182,0.0012190473604101193,2.2765757534203702e-07,False,False,397.0
arrival_month_2024_05,0.11139616118123652,True,0.0006981137056708205,0.0006981137056708205,0.0020826231150588015,4.065825166590253e-06,False,False,399.5
is_low_season_scaled,1.0,True,0.0007309578217779709,0.0007309578217779709,0.0,6.454806175454563e-05,False,False,400.5
deposit_type_Refundable,0.0015085359672412865,True,-0.018292086976419302,0.018292086976419302,0.0,0.0,False,False,400.5
city_Delhi,0.06233755430415772,True,-0.004325346782481479,0.004325346782481479,0.0,6.384486711365725e-06,False,False,401.5
city_Kolkata,0.0633646246580461,True,0.005194978764604523,0.005194978764604523,0.0,3.728395677192251e-06,False,False,403.5
