feature_name,coefficient,abs_coefficient,direction
arrival_date_month_June,0.023763399480327452,0.023763399480327452,提高取消概率
city_Chennai,-0.02374067215735985,0.02374067215735985,降低取消概率
is_near_holiday_proxy_scaled,0.02292933053385115,0.02292933053385115,提高取消概率
city_Delhi,-0.022410444617973476,0.022410444617973476,降低取消概率
city_Indore,0.02139794633422705,0.02139794633422705,提高取消概率
is_repeated_guest_scaled,-0.020748341834412386,0.020748341834412386,降低取消概率
stays_in_weekend_nights_scaled,0.020266227138011406,0.020266227138011406,提高取消概率
is_low_season_scaled,-0.01839205503327569,0.01839205503327569,降低取消概率
city_Goa,-0.017743425698513525,0.017743425698513525,降低取消概率
customer_group_hist_avg_adr_scaled,-0.01666530151771779,0.01666530151771779,降低取消概率
arrival_month_2024_06,0.015660189219135527,0.015660189219135527,提高取消概率
price_to_customer_group_hist_avg_scaled,-0.014693210653993666,0.014693210653993666,降低取消概率
adults_scaled,0.014241050597643464,0.014241050597643464,提高取消概率
city_hist_avg_adr_scaled,0.01419470906486671,0.01419470906486671,提高取消概率
children_scaled,-0.010708415167944973,0.010708415167944973,降低取消概率
group_recency_days_scaled,-0.010560835538867558,0.010560835538867558,降低取消概率
assigned_room_type_F,-0.010157580106299592,0.010157580106299592,降低取消概率
rfm_value_score_scaled,0.009678358166297996,0.009678358166297996,提高取消概率
arrival_month_2024_03,-0.0075795332911188975,0.0075795332911188975,降低取消概率
reserved_room_type_E,-0.006146498984117186,0.006146498984117186,降低取消概率
arrival_date_day_of_month_scaled,-0.005702436882698674,0.005702436882698674,降低取消概率
hotel_hist_cancel_rate_scaled,-0.005527768070073222,0.005527768070073222,降低取消概率
city_Ahmedabad,-0.004967666252098851,0.004967666252098851,降低取消概率
meal_FB,0.0039373007873399046,0.0039373007873399046,提高取消概率
arrival_day_of_week_scaled,-0.003844638039935442,0.003844638039935442,降低取消概率
is_high_risk_country_scaled,0.001986760871757039,0.001986760871757039,提高取消概率
city_Pune,-0.0015646988928311922,0.0015646988928311922,降低取消概率
stays_in_week_nights_scaled,0.0,0.0,提高取消概率
total_guests_scaled,0.0,0.0,提高取消概率
is_peak_season_scaled,0.0,0.0,提高取消概率
is_weekend_scaled,0.0,0.0,提高取消概率
is_holiday_proxy_scaled,0.0,0.0,提高取消概率
arrival_month_num_scaled,0.0,0.0,提高取消概率
arrival_quarter_scaled,0.0,0.0,提高取消概率
arrival_date_week_number_scaled,0.0,0.0,提高取消概率
arrival_date_month_April,0.0,0.0,提高取消概率
reserved_room_type_H,0.0,0.0,提高取消概率
reserved_room_type_D,0.0,0.0,提高取消概率
market_segment_Direct,0.0,0.0,提高取消概率
market_segment_Undefined,0.0,0.0,提高取消概率
meal_SC,0.0,0.0,提高取消概率
arrival_date_month_May,0.0,0.0,提高取消概率
arrival_date_month_July,0.0,0.0,提高取消概率
arrival_date_month_March,0.0,0.0,提高取消概率
arrival_date_month_February,0.0,0.0,提高取消概率
arrival_date_month_January,0.0,0.0,提高取消概率
hotel_target_encoded,0.0,0.0,提高取消概率
city_Lucknow,0.0,0.0,提高取消概率
assigned_room_type_L,0.0,0.0,提高取消概率
assigned_room_type_K,0.0,0.0,提高取消概率
assigned_room_type_E,0.0,0.0,提高取消概率
assigned_room_type_G,0.0,0.0,提高取消概率
arrival_quarter_label_2024Q2,0.0,0.0,提高取消概率
arrival_month_2024_08,0.0,0.0,提高取消概率
arrival_quarter_label_2024Q3,0.0,0.0,提高取消概率
hotel_type_Resort_Hotel,0.0,0.0,提高取消概率
arrival_month_2024_02,0.0,0.0,提高取消概率
arrival_month_2024_01,0.0,0.0,提高取消概率
arrival_month_2024_05,0.0,0.0,提高取消概率
arrival_month_2024_07,0.0,0.0,提高取消概率
lead_time_group_181,0.0,0.0,提高取消概率
season_type_淡季,0.0,0.0,提高取消概率
lead_time_group_31_90,0.0,0.0,提高取消概率
special_request_group_3,0.0,0.0,提高取消概率
special_request_group_5,0.0,0.0,提高取消概率
rfm_segment_沉睡,0.0,0.0,提高取消概率
rfm_segment_流失,0.0,0.0,提高取消概率
rfm_segment_潜力,0.0,0.0,提高取消概率
